"Seleção","Ranking"
"Alemanha","11"
"Arábia Saudita","53"
"Argentina","3"
"Austrália","39"
"Bélgica","2"
"Brasil","1"
"Camarões","38"
"Canadá","43"
"Catar","48"
"Coreia do Sul","28"
"Costa Rica","34"
"Croácia","15"
"Dinamarca","10"
"Equador","44"
"Espanha","6"
"Estados Unidos","14"
"França","4"
"Gana","60"
"Holanda","8"
"Inglaterra","5"
"Irã","22"
"Japão","24"
"Marrocos","23"
"México","12"
"Pais de Gales","19"
"Polônia","26"
"Portugal","9"
"Senegal","18"
"Sérvia","25"
"Suíça","16"
"Tunísia","30"
"Uruguai","13"
